cl_number,sepal_length,sepal_width,petal_length,petal_width,dist
2,0.388889,0.333333,0.59322,0.5,0.122818
3,0.555556,0.541667,0.627119,0.625,0.171355
2,0.166667,0.166667,0.38983,0.375,0.264204
3,0.638889,0.375,0.610169,0.5,0.187049
2,0.25,0.291667,0.491525,0.541667,0.139747
2,0.194444,0,0.423729,0.375,0.326508
3,0.444444,0.416667,0.542373,0.583333,0.179833
2,0.472222,0.0833334,0.508475,0.375,0.220769
3,0.5,0.375,0.627119,0.541667,0.129389
2,0.361111,0.375,0.440678,0.5,0.151368
3,0.666667,0.458333,0.576271,0.541667,0.201979
2,0.361111,0.416667,0.59322,0.583333,0.216838
2,0.416667,0.291667,0.525424,0.375,0.123144
2,0.527778,0.0833334,0.59322,0.583333,0.26853
2,0.361111,0.208333,0.491525,0.416667,0.073044
3,0.444444,0.5,0.644068,0.708333,0.171174
2,0.5,0.333333,0.508475,0.5,0.166209
3,0.555556,0.208333,0.661017,0.583333,0.183646
2,0.5,0.333333,0.627119,0.458333,0.199056
3,0.583333,0.375,0.559322,0.5,0.189931
3,0.638889,0.416667,0.576271,0.541667,0.173265
3,0.694444,0.333333,0.644068,0.541667,0.190381
3,0.666667,0.416667,0.677966,0.666667,0.125031
3,0.472222,0.375,0.59322,0.583333,0.126706
2,0.388889,0.25,0.423729,0.375,0.138267
2,0.333333,0.166667,0.474576,0.416667,0.109919
2,0.333333,0.166667,0.457627,0.375,0.14252
2,0.416667,0.291667,0.491525,0.458333,0.077548
3,0.472222,0.291667,0.694915,0.625,0.123511
2,0.305556,0.416667,0.59322,0.583333,0.223842
3,0.472222,0.583333,0.59322,0.625,0.233091
3,0.666667,0.458333,0.627119,0.583333,0.163791
2,0.555556,0.125,0.576271,0.5,0.23828
2,0.361111,0.416667,0.525424,0.5,0.172879
2,0.333333,0.208333,0.508475,0.5,0.0537647
2,0.333333,0.25,0.576271,0.458333,0.0687834
3,0.5,0.416667,0.610169,0.541667,0.140724
2,0.416667,0.25,0.508475,0.458333,0.0584239
2,0.194444,0.125,0.38983,0.375,0.260993
2,0.361111,0.291667,0.542373,0.5,0.0588073
2,0.388889,0.416667,0.542373,0.458333,0.175749
2,0.388889,0.375,0.542373,0.5,0.13708
3,0.527778,0.375,0.559322,0.5,0.188182
2,0.222222,0.208333,0.338983,0.416667,0.235019
2,0.388889,0.333333,0.525424,0.5,0.0956732
4,0.555556,0.541667,0.847458,1,0.24404
3,0.416667,0.291667,0.694915,0.75,0.186751
4,0.777778,0.416667,0.830508,0.833333,0.0748752
3,0.555556,0.375,0.779661,0.708333,0.128452
4,0.611111,0.416667,0.813559,0.875,0.151438
4,0.916667,0.416667,0.949153,0.833333,0.217423
2,0.166667,0.208333,0.59322,0.666667,0.286697
4,0.833333,0.375,0.898305,0.708333,0.218001
3,0.666667,0.208333,0.813559,0.708333,0.260175
4,0.805555,0.666667,0.864407,1,0.241
3,0.611111,0.5,0.694915,0.791667,0.196037
3,0.583333,0.291667,0.728814,0.75,0.147239
4,0.694444,0.416667,0.762712,0.833333,0.110344
3,0.388889,0.208333,0.677966,0.791667,0.270147
3,0.416667,0.333333,0.694915,0.958333,0.334924
4,0.583333,0.5,0.728814,0.916667,0.201242
3,0.611111,0.416667,0.762712,0.708333,0.13468
4,0.944444,0.75,0.966102,0.875,0.362776
4,0.944444,0.25,1,0.916667,0.348231
2,0.472222,0.0833334,0.677966,0.583333,0.277519
4,0.722222,0.5,0.79661,0.916667,0.0689605
3,0.361111,0.333333,0.661017,0.791667,0.236452
4,0.944444,0.333333,0.966102,0.791667,0.288536
3,0.555556,0.291667,0.661017,0.708333,0.100408
4,0.666667,0.541667,0.79661,0.833333,0.114862
4,0.805555,0.5,0.847458,0.708333,0.171273
3,0.527778,0.333333,0.644068,0.708333,0.0741008
3,0.5,0.416667,0.661017,0.708333,0.0824765
3,0.583333,0.333333,0.779661,0.833333,0.219712
4,0.805555,0.416667,0.813559,0.625,0.25646
4,0.861111,0.333333,0.864407,0.75,0.219464
4,1,0.75,0.915254,0.791667,0.388252
4,0.583333,0.333333,0.779661,0.875,0.224839
3,0.555556,0.333333,0.694915,0.583333,0.0907074
3,0.5,0.25,0.779661,0.541667,0.212832
4,0.944444,0.416667,0.864407,0.916667,0.213322
4,0.555556,0.583333,0.779661,0.958333,0.243921
3,0.583333,0.458333,0.762712,0.708333,0.143304
3,0.472222,0.416667,0.644068,0.708333,0.103304
4,0.722222,0.458333,0.745763,0.833333,0.0958213
4,0.666667,0.458333,0.779661,0.958333,0.133665
4,0.722222,0.458333,0.694915,0.916667,0.146778
3,0.416667,0.291667,0.694915,0.75,0.186751
4,0.694444,0.5,0.830508,0.916667,0.0771312
4,0.666667,0.541667,0.79661,1,0.172204
4,0.666667,0.416667,0.711864,0.916667,0.163141
3,0.555556,0.208333,0.677966,0.75,0.193897
3,0.611111,0.416667,0.711864,0.791667,0.162031
4,0.527778,0.583333,0.745763,0.916667,0.263959
3,0.444444,0.416667,0.694915,0.708333,0.128218
